编号,手机型号,特点描述
1,中兴 V880+,WCDMA 3G手机 灰色 - 3.5英寸/320万像素/联通定制机
2,诺基亚 5230,3.2英寸 200万像素 3G手机 WCDMA 黑色 非定制机
3,摩托罗拉 ME722,WCDMA 3G手机 精锐蓝 - 3.7英寸/500万像素/侧滑盖/非定制机
4,摩托罗拉 XT702,WCDMA 3G手机 黑色 - 3.7英寸/500万像素/侧滑盖/非定制机
5,中兴 U880,GSM/GPRS/EDGE/TD-SCDMA 3G手机 白色 - 3.5英寸/500万像素/直板/移动定制机
6,摩托罗拉 XT883,CDMA2000 3G手机 黑色 - 4.0英寸/800万像素/侧滑盖/电信定制机
7,索尼爱立信 SK17I,GSM/WCDMA 3G手机 白色 - 3.0英寸/500万像素/侧滑盖/非定制机
8,索尼爱立信 A8I,TD-SCDMA 3G手机 橄榄黑色 - 3.5英寸/500万像素/直板/移动定制机
9,HTC C510E,GSM/GPRS/EDGE/WCDMA/HSDPA 3G手机 金棕色- 3.4英寸/500万像素/直板
10,LG P920 3D,WCDMA 3G手机 黑色 - 4.3英寸/500万像素/双核/Android 2.2/直板/联通定制机
11,三星 I589,GSM/CDMA2000手机 银色 - 3.5英寸/300万像素/Android2.2/直板/电信定制机
